Index,Success,Goblin Death,Player Hurt,Player Attacking,Player Moving,Min,Max,Median,Sd,Type
303,1,3,4,4,5,0.7275,0.8729,0.8191,0.0477449124689392,0
304,1,3,4,4,5,0.4761,0.7787,0.617,0.1074414981457794,0
305,1,3,4,4,5,0.38,0.8232,0.6317,0.1608093123932223,0
306,1,3,4,4,5,0.3302,0.8589,0.6015,0.1893135381167593,0
307,1,0,0,0,0,0.0655,0.7418,0.5795,0.2408494544612582,1
308,1,0,0,1,1,0.4173,0.7523,0.6272,0.1005323984736121,1
309,1,1,0,2,1,0.4772,0.7993,0.6417,0.0961422284703142,1
310,0,2,2,3,3,0.2945,0.6425,0.385,0.1227423949734138,1
311,1,2,2,3,3,0.5771,0.8518,0.6256,0.1167195140170698,1
312,1,2,4,4,3,0.3847,0.866,0.6302,0.175317024952214,1
313,1,3,5,5,3,0.4129,0.7723,0.6144,0.1346758712082988,1
314,1,4,5,6,9,0.5109,0.691,0.6463,0.0571761838530694,1
315,1,5,6,7,12,0.4875,0.8668,0.6242,0.1158245730157712,1
