,Unnamed: 0,Index,Frame,Success,Goblin Death,Player Hurt,Player Attacking,Player Moving,Threshbuffer,Type
60,3,127,13960,1,1,3,2,5,[0.5737 0.6852 0.6772 0.6747 0.6909 0.6905 0.7137 0.7033],1
61,4,161,15536,1,2,4,3,5,[0.6017 0.681  0.8159 0.8415 0.8292 0.8629 0.8686 0.8678],1
62,5,200,17894,1,3,4,4,6,[0.6162 0.6545 0.7036 0.7688 0.7097 0.7488 0.7936 0.8418],1
63,6,229,19839,1,3,5,5,7,[0.6122 0.712  0.7606 0.7683 0.7723 0.7419 0.7098 0.7179],1
64,7,261,21825,1,4,6,6,8,[0.6092 0.6839 0.7781 0.7447 0.7963 0.7808 0.7896 0.7699],1
65,8,341,26048,1,5,7,7,14,[0.5938 0.6692 0.7313 0.7359 0.7376 0.7065 0.727  0.7435],1
66,0,8,9226,1,0,0,0,0,[0.6279 0.6475 0.6947 0.7444 0.7377 0.7006 0.6888 0.6917],0
67,1,18,9756,1,0,0,0,0,[0.6272 0.6685 0.6764 0.7141 0.7308 0.7244 0.7275 0.7251],0
68,2,24,10397,1,0,0,0,0,[0.5915 0.6719 0.7062 0.7103 0.7005 0.7018 0.7165 0.7076],0
69,3,30,11474,1,0,0,0,0,[0.6254 0.6848 0.6883 0.7226 0.7295 0.744  0.7615 0.7761],0
70,4,235,24691,0,2,5,4,13,[0.7094 0.6757 0.6815 0.6747 0.6424 0.6215 0.5957 0.5534],0
71,5,236,26178,0,2,5,4,13,[0.2308 0.2102 0.2372 0.25   0.2602 0.275  0.2908 0.298 ],0
72,6,240,26863,1,2,5,4,13,[0.5803 0.6498 0.677  0.6747 0.7509 0.8232 0.8202 0.8043],0
73,7,246,27551,1,2,5,4,13,[0.631  0.6498 0.6524 0.6641 0.6525 0.6483 0.6737 0.693 ],0
74,8,252,28368,1,2,5,4,13,[0.6198 0.6686 0.6476 0.6986 0.7044 0.7149 0.6505 0.6425],0
75,9,262,28937,1,2,5,4,13,[0.6087 0.6726 0.6658 0.6877 0.7152 0.7345 0.7233 0.7234],0
76,0,65,21151,1,0,1,0,2,[0.6175 0.7056 0.7452 0.7469 0.7562 0.7339 0.7142 0.7335],1
77,1,152,25498,1,1,4,1,5,[0.828  0.8247 0.811  0.7733 0.7578 0.7576 0.7436 0.6519],1
78,2,180,27140,1,1,5,2,5,[0.6295 0.6431 0.6877 0.6968 0.7006 0.6907 0.7214 0.7256],1
79,3,203,29289,0,2,6,3,5,[0.5531 0.5372 0.578  0.571  0.5523 0.585  0.614  0.6389],1
80,4,204,30770,0,2,6,3,5,[0.2688 0.2647 0.2667 0.2605 0.2724 0.2747 0.2803 0.2658],1
81,5,208,31371,1,2,6,3,5,[0.6341 0.6461 0.7196 0.7461 0.7623 0.7455 0.7381 0.7208],1
82,6,263,34680,1,3,6,4,7,[0.6337 0.655  0.6778 0.6955 0.6811 0.667  0.6984 0.7077],1
83,7,318,39390,0,3,7,5,11,[0.4944 0.5277 0.4286 0.4204 0.4617 0.4986 0.5124 0.467 ],1
84,8,323,40843,0,3,7,5,11,[0.2836 0.2527 0.2297 0.2597 0.2713 0.28   0.282  0.2781],1
85,9,327,41459,1,3,7,5,11,[0.4125 0.6454 0.6847 0.7126 0.7102 0.6823 0.6708 0.6927],1
86,10,346,43337,0,4,8,6,11,[0.0581 0.0755 0.115  0.1499 0.225  0.4705 0.6198 0.7574],1
87,11,354,44745,1,4,8,6,11,[0.6398 0.6735 0.6905 0.702  0.6852 0.7028 0.7334 0.7105],1
88,12,396,48214,1,5,9,7,14,[0.5415 0.6453 0.7263 0.736  0.7737 0.8073 0.8173 0.8112],1
89,0,5,16328,0,0,0,0,0,[0.2401 0.2357 0.2424 0.2624 0.2829 0.3029 0.275  0.2278],0
90,1,6,17380,0,0,0,0,0,[0.3774 0.4527 0.4802 0.4942 0.5098 0.5564 0.5626 0.5262],0
91,2,7,18436,0,0,0,0,0,[0.2053 0.2525 0.2523 0.2496 0.251  0.2784 0.2608 0.2735],0
92,3,12,19494,0,0,0,0,0,[0.1287 0.1856 0.1938 0.2308 0.2485 0.2444 0.2708 0.2514],0
93,4,13,20549,0,0,0,0,0,[0.3865 0.3892 0.3795 0.3692 0.4158 0.455  0.4943 0.4786],0
94,5,17,21379,1,0,0,0,0,[0.6007 0.6523 0.6719 0.7043 0.7636 0.7698 0.8026 0.8467],0
95,6,23,22178,1,0,0,0,0,[0.5478 0.6498 0.6737 0.7153 0.7445 0.7592 0.7944 0.7964],0
96,7,29,23154,1,0,0,0,0,[0.6363 0.6609 0.648  0.675  0.6963 0.7458 0.7556 0.7619],0
97,8,32,24178,0,0,0,0,0,[0.131  0.1299 0.1147 0.1285 0.1196 0.1249 0.1414 0.1487],0
98,9,33,25223,0,0,0,0,0,[0.3279 0.3609 0.4052 0.3953 0.3395 0.2537 0.1777 0.1581],0
99,10,37,25702,1,0,0,0,0,[0.6252 0.6556 0.6572 0.6581 0.7004 0.7175 0.7505 0.761 ],0
100,11,268,36482,0,3,3,4,13,[0.2173 0.15   0.1715 0.1632 0.1765 0.1734 0.1729 0.1636],0
101,12,269,37516,0,3,3,4,13,[0.1433 0.1725 0.2027 0.239  0.2079 0.2361 0.2281 0.2218],0
102,13,270,38491,0,3,3,4,13,[0.2923 0.2978 0.3364 0.3222 0.3064 0.3142 0.3259 0.3091],0
103,14,274,38963,1,3,3,4,13,[0.6308 0.685  0.7356 0.8029 0.8108 0.8037 0.8159 0.8065],0
104,15,277,39898,0,3,3,4,13,[0.2662 0.2858 0.2904 0.3219 0.3415 0.3665 0.3737 0.3624],0
105,16,281,40348,1,3,3,4,13,[0.5953 0.6607 0.7048 0.7194 0.7145 0.6693 0.6628 0.6492],0
106,17,284,41366,0,3,3,4,13,[0.2375 0.2944 0.2492 0.2385 0.2635 0.2956 0.2868 0.3032],0
107,18,288,41788,1,3,3,4,13,[0.6342 0.6765 0.7016 0.7184 0.7284 0.7239 0.7613 0.7748],0
108,19,294,42248,1,3,3,4,13,[0.6138 0.6534 0.6518 0.7154 0.7439 0.761  0.76   0.746 ],0
109,0,12,4898,1,0,0,0,0,[0.6388 0.6479 0.6775 0.6761 0.6581 0.6746 0.696  0.6919],1
110,1,50,6515,1,0,1,1,1,[0.6388 0.6597 0.6826 0.702  0.6919 0.7153 0.7263 0.7122],1
111,2,78,7635,1,1,2,2,1,[0.5968 0.6478 0.6865 0.7185 0.7555 0.7322 0.7288 0.6795],1
112,3,105,10016,0,2,2,3,2,[0.2271 0.2181 0.1952 0.1633 0.1381 0.1451 0.1561 0.1582],1
113,4,106,11052,0,2,2,3,2,[0.1404 0.1327 0.1279 0.1364 0.1331 0.133  0.1342 0.1463],1
114,5,107,12087,0,2,2,3,2,[0.5708 0.5241 0.5387 0.5696 0.5898 0.5531 0.5162 0.5164],1
115,6,108,13123,0,2,2,3,2,[0.1869 0.1647 0.1549 0.2017 0.1908 0.2065 0.1995 0.1863],1
116,7,109,14156,0,2,2,3,2,[0.3492 0.366  0.4257 0.4022 0.34   0.3132 0.3206 0.32  ],1
117,8,110,15196,0,2,2,3,2,[0.1113 0.1229 0.1293 0.1367 0.168  0.1877 0.1711 0.2059],1
118,9,111,16234,0,2,2,3,2,[0.2235 0.2319 0.2201 0.2329 0.2163 0.1818 0.1831 0.1929],1
119,10,112,17277,0,2,2,3,2,[0.3303 0.3578 0.446  0.4632 0.4763 0.4629 0.496  0.5376],1
120,11,113,18306,0,2,2,3,2,[0.4914 0.4232 0.4299 0.4721 0.3674 0.2956 0.2916 0.2559],1
121,12,118,19356,0,2,2,3,2,[0.3709 0.3271 0.2861 0.2757 0.3232 0.3443 0.3668 0.4192],1
122,13,122,19875,1,2,2,3,2,[0.6168 0.6751 0.6998 0.7681 0.8156 0.8593 0.8796 0.9054],1
123,14,154,22584,0,3,3,4,5,[0.4343 0.4502 0.4569 0.4059 0.3799 0.2855 0.2836 0.304 ],1
124,15,155,23621,0,3,3,4,5,[0.3911 0.3084 0.285  0.3048 0.2971 0.2509 0.2281 0.2472],1
125,16,156,24661,0,3,3,4,5,[0.1663 0.1447 0.1353 0.1351 0.1548 0.1656 0.2091 0.2184],1
126,17,161,25674,0,3,3,4,5,[0.1982 0.2178 0.2188 0.2043 0.2117 0.2232 0.2097 0.2013],1
127,18,165,26235,1,3,3,4,5,[0.6385 0.6704 0.7151 0.7712 0.7582 0.7728 0.7571 0.7501],1
128,19,188,28152,0,3,5,5,6,[0.5198 0.519  0.5084 0.4563 0.432  0.4426 0.4609 0.4655],1
129,20,189,29167,0,3,5,5,6,[0.2948 0.3023 0.3122 0.3099 0.2953 0.3131 0.2964 0.2826],1
130,21,190,30179,0,3,5,5,6,[0.2024 0.1929 0.1809 0.1592 0.1746 0.1541 0.1416 0.1228],1
131,22,191,31196,0,3,5,5,6,[0.445  0.4177 0.4234 0.3854 0.3595 0.2629 0.2173 0.2651],1
132,23,195,31604,1,3,5,5,6,[0.6268 0.7143 0.8141 0.8173 0.8292 0.7988 0.8    0.7969],1
133,24,210,33092,0,4,6,6,6,[0.2085 0.2254 0.2317 0.219  0.2354 0.2279 0.1704 0.1279],1
134,25,211,34104,0,4,6,6,6,[0.2878 0.319  0.3099 0.3136 0.3178 0.3881 0.448  0.5296],1
135,26,212,35126,0,4,6,6,6,[0.3049 0.2978 0.3433 0.337  0.3722 0.3884 0.4065 0.4452],1
136,27,213,36140,0,4,6,6,6,[0.1176 0.1218 0.1004 0.1002 0.0864 0.1029 0.091  0.0902],1
137,28,214,37150,0,4,6,6,6,[0.1509 0.144  0.1145 0.0977 0.0815 0.0909 0.093  0.084 ],1
138,29,218,37894,1,4,6,6,6,[0.6174 0.6837 0.6461 0.6474 0.6942 0.6832 0.6945 0.6954],1
139,30,243,40105,0,5,6,7,9,[0.2096 0.1967 0.1795 0.1682 0.1649 0.1314 0.0752 0.0538],1
140,31,244,41127,0,5,6,7,9,[0.1765 0.1848 0.1911 0.188  0.2211 0.2136 0.2281 0.241 ],1
